"","chr","start","end","strand","pvalue","qvalue","meth.diff","nearest_tss","nearest_gene"
"3",17,3119156,3119156,"*",0.000121490742096968,0.000211490634551708,29.2623450518187,3108194,"ENSMUSG00000088244"
"5",17,3119164,3119164,"*",5.82743279933292e-07,2.04851311858223e-06,36.3201663201663,3108194,"ENSMUSG00000088244"
"6",17,3119191,3119191,"*",0.000100845498434208,0.000180166775527802,38.065143412737,3108194,"ENSMUSG00000088244"
"12",17,3127785,3127785,"*",5.23107254141171e-10,3.84492053938976e-09,39.8085585585586,3134315,"ENSMUSG00000121378"
"13",17,3127786,3127786,"*",0.000186277229454117,0.000305610341486841,28.5539215686274,3134315,"ENSMUSG00000121378"
"14",17,3127814,3127814,"*",2.13620235241437e-06,6.36247500560535e-06,32.953181272509,3134315,"ENSMUSG00000121378"
"16",17,3127848,3127848,"*",5.91757655717612e-14,9.94194530031581e-13,47.8107032286599,3134315,"ENSMUSG00000121378"
"17",17,3127849,3127849,"*",2.28181687092678e-05,5.01587040502936e-05,26.2032085561497,3134315,"ENSMUSG00000121378"
"18",17,3127891,3127891,"*",5.74585788749552e-05,0.000111073418170615,41.1628913576684,3134315,"ENSMUSG00000121378"
"19",17,3127892,3127892,"*",5.16999944268023e-08,2.35761485952469e-07,44.3802268050265,3134315,"ENSMUSG00000121378"
"21",17,3127978,3127978,"*",1.38711085844651e-10,1.14898056384277e-09,37.038961038961,3134315,"ENSMUSG00000121378"
"22",17,3127987,3127987,"*",3.33335237959243e-06,9.39982192763179e-06,31.9664031620553,3134315,"ENSMUSG00000121378"
"23",17,3127988,3127988,"*",0.00038730233359466,0.000570326409534271,40.1635192822516,3134315,"ENSMUSG00000121378"
"34",17,3129552,3129552,"*",5.37268452667517e-08,2.44200017013624e-07,45.1114023591088,3134315,"ENSMUSG00000121378"
"35",17,3129676,3129676,"*",0.000172075773221612,0.000285890124143238,49.125,3134315,"ENSMUSG00000121378"
"36",17,3129677,3129677,"*",3.13539571702195e-12,3.6829052562963e-11,49.3636363636364,3134315,"ENSMUSG00000121378"
"38",17,3129690,3129690,"*",2.10480757960812e-14,3.86638382722353e-13,43.0639730639731,3134315,"ENSMUSG00000121378"
"42",17,3129827,3129827,"*",1.61070623799254e-05,3.71229476397919e-05,25.5077658303465,3134315,"ENSMUSG00000121378"
"44",17,3129972,3129972,"*",2.71940676295639e-06,7.86270351914836e-06,26.7963200186328,3134315,"ENSMUSG00000121378"
"45",17,3129973,3129973,"*",1.53970880740628e-06,4.80283647665408e-06,30.5138339920949,3134315,"ENSMUSG00000121378"
"48",17,3130787,3130787,"*",1.87651051071268e-24,1.50619705311334e-22,44.0864960282436,3134315,"ENSMUSG00000121378"
"49",17,3130788,3130788,"*",6.80447936834552e-13,9.21406934811781e-12,37.8047995882391,3134315,"ENSMUSG00000121378"
"50",17,3130992,3130992,"*",3.66728761572596e-10,2.78228743676779e-09,50.3094606542882,3134315,"ENSMUSG00000121378"
"51",17,3130993,3130993,"*",7.23820296422833e-13,9.7418356897641e-12,33.6805955258816,3134315,"ENSMUSG00000121378"
"52",17,3131056,3131056,"*",7.82215985819128e-17,2.20467214722639e-15,45.2944942381562,3134315,"ENSMUSG00000121378"
"53",17,3131057,3131057,"*",9.37739133423201e-23,5.80281717622492e-21,45.8367204738126,3134315,"ENSMUSG00000121378"
"54",17,3131190,3131190,"*",6.32428711830735e-10,4.56663286031035e-09,51.7085751128304,3134315,"ENSMUSG00000121378"
"55",17,3131191,3131191,"*",4.59801822821577e-14,7.93314768387237e-13,51.0625,3134315,"ENSMUSG00000121378"
"56",17,3131232,3131232,"*",5.82705826639656e-18,1.94411143923097e-16,55.8510638297872,3134315,"ENSMUSG00000121378"
"57",17,3131233,3131233,"*",1.15627889475872e-08,6.29063813856271e-08,35.7888220728688,3134315,"ENSMUSG00000121378"
"58",17,3131280,3131280,"*",3.90740434145866e-09,2.38463329805428e-08,37.8478260869565,3134315,"ENSMUSG00000121378"
"59",17,3131281,3131281,"*",9.62694079656905e-08,4.13793592188524e-07,34.7689382860485,3134315,"ENSMUSG00000121378"
"60",17,3131330,3131330,"*",2.12560622733406e-07,8.38784274539019e-07,40.7017543859649,3134315,"ENSMUSG00000121378"
"61",17,3131331,3131331,"*",1.51368009493691e-05,3.52016805185395e-05,32.4854779088189,3134315,"ENSMUSG00000121378"
"62",17,3131390,3131390,"*",9.71998545816512e-09,5.38057147867492e-08,39.8913043478261,3134315,"ENSMUSG00000121378"
"63",17,3131391,3131391,"*",5.20789750497798e-08,2.37391974925337e-07,45.2519005282824,3134315,"ENSMUSG00000121378"
"64",17,3131570,3131570,"*",3.74438898516781e-24,2.9415194541322e-22,57.6122594440485,3134315,"ENSMUSG00000121378"
"65",17,3131571,3131571,"*",9.23856329247973e-14,1.48093592919454e-12,48.4022556390978,3134315,"ENSMUSG00000121378"
"68",17,3131754,3131754,"*",2.08427361904883e-20,9.54001910201186e-19,49.417820811374,3134315,"ENSMUSG00000121378"
"69",17,3131755,3131755,"*",4.82075935192868e-25,4.01489036169985e-23,59.5565178438107,3134315,"ENSMUSG00000121378"
"70",17,3131817,3131817,"*",5.75839403690989e-12,6.33405438067176e-11,51.3673318551367,3134315,"ENSMUSG00000121378"
"71",17,3131818,3131818,"*",1.04783997294034e-15,2.41301356938743e-14,43.3086800452914,3134315,"ENSMUSG00000121378"
"72",17,3131913,3131913,"*",1.83575690204042e-30,2.8241811626295e-28,56.3303341902314,3134315,"ENSMUSG00000121378"
"73",17,3131914,3131914,"*",1.11115305705449e-32,2.23779899566849e-30,49.6380952380952,3134315,"ENSMUSG00000121378"
"74",17,3132240,3132240,"*",8.43165292020294e-22,4.60072803854864e-20,52.0010601643255,3134315,"ENSMUSG00000121378"
"75",17,3132241,3132241,"*",3.69217351830006e-31,6.2918538349335e-29,55.3580562659846,3134315,"ENSMUSG00000121378"
"77",17,3132404,3132404,"*",7.80688786047072e-11,6.82756778107085e-10,45.7142857142857,3134315,"ENSMUSG00000121378"
"78",17,3132478,3132478,"*",4.58128797161137e-26,4.22879102640174e-24,59.3487394957983,3134315,"ENSMUSG00000121378"
"79",17,3132479,3132479,"*",1.10572946815159e-17,3.50940374790682e-16,67.119818739171,3134315,"ENSMUSG00000121378"
"80",17,3132585,3132585,"*",3.53330003365986e-13,5.10264121068724e-12,52.5446036852881,3134315,"ENSMUSG00000121378"
"81",17,3132586,3132586,"*",4.08835725258419e-10,3.06604286352066e-09,42.7536231884058,3134315,"ENSMUSG00000121378"
"82",17,3132678,3132678,"*",8.16745434700059e-18,2.65303033184813e-16,57.4034334763949,3134315,"ENSMUSG00000121378"
"83",17,3132679,3132679,"*",3.04081186907515e-14,5.40643995189919e-13,49.8578917450894,3134315,"ENSMUSG00000121378"
"85",17,3132742,3132742,"*",3.92648082620903e-21,1.95911705440633e-19,71.2131788356834,3134315,"ENSMUSG00000121378"
"86",17,3132743,3132743,"*",1.58872726355372e-19,6.61572722486104e-18,63.0466409927257,3134315,"ENSMUSG00000121378"
"87",17,3132805,3132805,"*",1.11631680656237e-23,7.87585459397701e-22,76.7568941415682,3134315,"ENSMUSG00000121378"
"88",17,3132806,3132806,"*",2.54237333995068e-13,3.75982288250085e-12,56.3412408759124,3134315,"ENSMUSG00000121378"
"90",17,3132944,3132944,"*",0.000279321943342318,0.00043296413405485,63.4117647058823,3134315,"ENSMUSG00000121378"
"91",17,3132945,3132945,"*",2.53318220970686e-11,2.47218203685033e-10,64.2857142857143,3134315,"ENSMUSG00000121378"
"93",17,3162583,3162583,"*",0.000646773267977808,0.000886427241329807,32.1391484942887,3165104,"ENSMUSG00000121789"
"111",17,3830207,3830207,"*",0.000294716305005903,0.000452520131084947,34.6804511278195,3746536,"ENSMUSG00000023802"
"112",17,3830238,3830238,"*",0.000243175407441906,0.000384028777074329,30.9755279919544,3746536,"ENSMUSG00000023802"
